ipa,syllabic,consonant,high,low,front,back,tense,voice,place,manner
w,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,labial-velar,approximant
ɥ,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,labial-palatal,approximant
ʡ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,epiglottal,plosive
ɕ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,alveo-palatal,fricative
ʑ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,alveo-palatal,fricative
ɺ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,lateral flap
ɧ,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,post-alveolar-velar,fricative
t͡s,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alveolar,affricate
d͡z,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,affricate
t͡ʃ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alveolo-palatal,affricate
d͡ʒ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolo-palatal,affricate
t͡ɕ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,palato-alveolar,affricate
d͡ʑ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,palato-alveolar,affricate
ʈ͡ʂ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,retroflex,affricate
ɖ͡ʐ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,retroflex,affricate
i,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,
y,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,
ɨ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
ʉ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
ɯ,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,
u,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,
ɪ,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
ʏ,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
ʊ,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,
e,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,
ø,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,
ɘ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
ɵ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
ɤ,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,
o,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,
ə,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
ɛ,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
œ,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
ɜ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
ɞ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
ʌ,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,
ɔ,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,
æ,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
ɐ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
a,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
ɶ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
ɑ,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,
ɒ,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,
